mot,term_frequency,document_frequency
the,72,8
of,44,5
to,28,8
and,27,8
a,25,5
football,20,5
in,18,6
we,16,4
is,14,8
this,13,6
for,12,4
transfer,11,3
that,11,7
with,9,4
on,7,3
or,6,5
be,6,5
injury,6,2
as,5,3
training,5,1
injuries,5,1
most,5,4
an,4,3
your,4,2
can,4,1
also,4,3
mre,4,1
used,4,2
using,4,1
mouthguards,4,1
results,4,4
air,4,1
resistance,4,1
between,4,4
network,4,2
interesting,3,3
footballer,3,1
incidence,3,2
theory,3,1
data,3,2
common,3,2
where,3,2
week,3,3
was,3,1
v,3,1
made,3,3
conducted,3,1
recordings,3,1
professional,3,1
uefa,3,1
predicting,3,1
were,3,1
found,3,2
sessions,3,1
place,3,3
during,3,1
gps,3,1
order,3,2
not,3,3
brain,3,1
velocity,3,2
instrumented,3,1
impact,3,1
has,3,3
understanding,3,2
here,3,3
match,3,3
discussion,3,3
whether,3,3
weekly,2,2
thread,2,2
youre,2,2
chat,2,2
about,2,2
latest,2,2
rumors,2,2
brazil,2,1
how,2,2
predictions,2,2
higher,2,2
selection,2,1
team,2,2
strain,2,1
true,2,2
feature,2,1
weights,2,1
link,2,1
learning,2,1
machine,2,1
different,2,2
investigation,2,2
thoughts,2,2
hours,2,1
records,2,2
angular,2,1
further,2,2
peak,2,1
measurements,2,2
various,2,1
accurate,2,2
exposure,2,1
spherical,2,1
overtraining,2,1
predict,2,1
part,2,2
injured,2,1
players,2,1
might,2,1
fatigue,2,1
share,2,2
free,2,2
from,2,2
model,2,2
based,2,2
feel,2,2
footballrelated,2,2
accuracy,2,1
by,2,2
much,2,1
impacts,2,1
find,2,2
anything,2,2
research,2,2
use,2,2
their,2,1
clubs,2,1
flight,2,1
american,2,1
hexagons,2,1
pentagons,2,1
analysis,2,1
mean,2,2
standard,2,2
would,2,2
nodes,2,1
more,2,2
ftn,2,1
have,2,2
any,2,2
branched,2,1
characteristics,2,1
studies,2,2
node,2,1
welcome,2,2
speeds,2,1
out,2,2
predictive,2,1
investigate,2,2
because,2,2
eye,2,2
caught,2,2
which,2,2
news,2,2
thfc,2,1
possible,2,2
three,2,1
outstrengths,1,1
follow,1,1
activities,1,1
dentition,1,1
correlations,1,1
figure,1,1
tail,1,1
powerlaw,1,1
distribution,1,1
while,1,1
decay,1,1
exponential,1,1
law,1,1
power,1,1
distributions,1,1
instrengths,1,1
institutions,1,1
companies,1,1
led,1,1
concussions,1,1
biomechanics,1,1
underlying,1,1
assisting,1,1
kinematics,1,1
head,1,1
measuring,1,1
way,1,1
viable,1,1
shown,1,1
been,1,1
conflicting,1,1
given,1,1
especially,1,1
critical,1,1
quantification,1,1
makes,1,1
concussive,1,1
tool,1,1
however,1,1
develop,1,1
rigid,1,1
relatively,1,1
win,1,1
likely,1,1
inturn,1,1
tournaments,1,1
appeared,1,1
uses,1,1
study,1,1
present,1,1
recent,1,1
gave,1,1
tested,1,1
all,1,1
commonly,1,1
five,1,1
compare,1,1
validate,1,1
headform,1,1
iii,1,1
hybrid,1,1
characteristic,1,1
deliver,1,1
impactor,1,1
pneumatic,1,1
upper,1,1
coupling,1,1
calculated,1,1
fiber,1,1
principal,1,1
maximum,1,1
described,1,1
deformation,1,1
values,1,1
criteria,1,1
error,1,1
relative,1,1
acceleration,1,1
known,1,1
every,1,1
prove,1,1
sensitive,1,1
yet,1,1
locations,1,1
varies,1,1
measurement,1,1
finally,1,1
neural,1,1
convolutional,1,1
footballs,1,1
result,1,1
corresponding,1,1
showing,1,1
examples,1,1
give,1,1
up,1,1
vertices,1,1
only,1,1
cover,1,1
ball,1,1
soccer,1,1
relation,1,1
usual,1,1
generalisation,1,1
natural,1,1
satisfying,1,1
exist,1,1
sphere,1,1
patterns,1,1
kl,1,1
pairs,1,1
classify,1,1
moreover,1,1
genera,1,1
strength,1,1
reflect,1,1
actually,1,1
points,1,1
total,1,1
do,1,1
rankings,1,1
seem,1,1
germany,1,1
detailed,1,1
examine,1,1
paper,1,1
lgons,1,1
kgons,1,1
unfortunately,1,1
thruster,1,1
misaligned,1,1
trajectory,1,1
rocket,1,1
gyroscope,1,1
included,1,1
spin,1,1
teams,1,1
reward,1,1
mostly,1,1
does,1,1
sectional,1,1
cross,1,1
corrections,1,1
necessary,1,1
make,1,1
inertia,1,1
moments,1,1
realistic,1,1
graph,1,1
httpsenwikipediaorgwikififaworldcuprecordsandstatisticshttpsenwikipediaorgwikififaworldcuprecordsandstatistics,1,1
source,1,1
approximate,1,1
shall,1,1
dramatically,1,1
pga,1,1
increases,1,1
fc,1,1
hotspurs,1,1
tottenham,1,1
collaboration,1,1
close,1,1
work,1,1
modelling,1,1
recording,1,1
time,1,1
recovery,1,1
investigations,1,1
mach,1,1
ww,1,1
wanderers,1,1
wolverhampton,1,1
participation,1,1
tour,1,1
european,1,1
force,1,1
dominant,1,1
ballistics,1,1
it,1,1
i,1,1
correlationbased,1,1
through,1,1
rocketry,1,1
errors,1,1
improved,1,1
then,1,1
models,1,1
performance,1,1
build,1,1
algorithms,1,1
previous,1,1
drag,1,1
point,1,1
available,1,1
datasets,1,1
calculations,1,1
getting,1,1
analytic,1,1
chance,1,1
affect,1,1
athlete,1,1
schedule,1,1
problem,1,1
studied,1,1
athletes,1,1
complex,1,1
relationship,1,1
without,1,1
detail,1,1
forests,1,1
random,1,1
subset,1,1
giving,1,1
attributed,1,1
percentage,1,1
significant,1,1
intraining,1,1
intrinsic,1,1
gets,1,1
he,1,1
before,1,1
train,1,1
player,1,1
days,1,1
number,1,1
motion,1,1
task,1,1
begin,1,1
focus,1,1
games,1,1
important,1,1
speed,1,1
take,1,1
first,1,1
gathered,1,1
lead,1,1
intense,1,1
very,1,1
detect,1,1
indicators,1,1
provide,1,1
depending,1,1
collected,1,1
either,1,1
proportional,1,1
area,1,1
slower,1,1
potential,1,1
at,1,1
thesis,1,1
construct,1,1
regions,1,1
countries,1,1
goal,1,1
among,1,1
itself,1,1
behavior,1,1
but,1,1
fees,1,1
system,1,1
skull,1,1
indegrees,1,1
properties,1,1
topological,1,1
conduced,1,1
revolution,1,1
systemic,1,1
transfers,1,1
correspond,1,1
links,1,1
are,1,1
parabola,1,1
resembles,1,1
directed,1,1
closely,1,1
bimodal,1,1
outdegrees,1,1
into,1,1
lights,1,1
new,1,1
sheds,1,1
market,1,1
global,1,1
our,1,1
centrality,1,1
measures,1,1
shape,1,1
general,1,1
strengths,1,1
degrees,1,1
show,1,1
him,1,1
